0,Kane Williamson,SRH,bowl,15,1,6,7,0,7,0,7,0,7,0,0,0,0
2,Suresh Raina,GL,bowl,161,68,902,1112,25,0,2,0,2,7.4,44.48,36.08,0,0
1,Dwayne Bravo,GL,bowl,106,103,2017,2755,122,22,4,22,4,8.2,22.58,16.53,0,0
0,Aaron Finch,GL,bowl,65,5,43,67,1,11,1,11,1,9.35,67,43,0,0
1,Ravindra Jadeja,GL,bowl,138,112,1925,2506,82,16,5,16,5,7.81,30.56,23.48,1,0
1,Dhawal Kulkarni,GL,bowl,72,72,1416,1881,76,14,4,14,4,7.97,24.75,18.63,0,0
4,Dwayne Smith,GL,bowl,91,46,539,810,26,8,4,8,4,9.02,31.15,20.73,0,0
4,Pravin Tambe,GL,bowl,33,33,660,853,28,20,4,20,4,7.75,30.46,23.57,0,0
0,Sarabjit Ladda,GL,bowl,9,9,138,224,5,44,2,44,2,9.74,44.8,27.6,0,0
2,James Faulkner,GL,bowl,60,60,1227,1778,59,16,5,16,5,8.69,30.14,20.8,2,0
2,Shadab Bashir Jakati,GL,bowl,59,57,1085,1451,47,22,4,22,4,8.02,30.87,23.09,0,0
0,Shivil Koushik,GL,bowl,10,10,204,297,6,20,3,20,3,8.74,49.5,34,0,0
3,Praveen Kumar,GL,bowl,119,119,2524,3251,90,18,3,18,3,7.73,36.12,28.04,0,0
2,Pradeep Sangwan,GL,bowl,38,38,790,1156,35,18,3,18,3,8.78,33.03,22.57,0,0
1,Dale Steyn,GL,bowl,90,90,2058,2306,92,8,3,8,3,6.72,25.07,22.37,0,0
0,Andrew Tye,GL,bowl,6,6,126,141,12,17,5,17,5,6.71,11.75,10.5,1,0
1,Ravichandran Ashwin,RPS,bowl,111,108,2290,2499,100,34,4,34,4,6.55,24.99,22.9,0,0
1,Rajat Bhatia,RPS,bowl,95,91,1636,2020,71,15,4,15,4,7.41,28.45,23.04,0,0
0,Deepak Chahar,RPS,bowl,5,5,72,115,1,35,1,35,1,9.58,115,72,0,0
0,Faf du Plessis,RPS,bowl,53,1,6,16,0,16,0,16,0,16,0,0,0,0
0,Jaskaran Singh,RPS,bowl,8,7,102,171,6,18,2,18,2,10.06,28.5,17,0,0
1,Irfan Pathan,RPS,bowl,103,101,2043,2649,80,24,3,24,3,7.78,33.11,25.54,0,0
0,Kevin Pietersen,RPS,bowl,36,13,174,215,7,31,2,31,2,7.41,30.71,24.86,0,0
1,Ishant Sharma,RPS,bowl,76,76,1631,2229,58,12,5,12,5,8.2,38.43,28.12,1,0
0,Steven Smith,RPS,bowl,69,1,2,5,0,5,0,5,0,0,0,0,0,0
0,Adam Zampa,RPS,bowl,11,11,221,278,19,19,6,19,6,7.55,14.63,11.63,1,0
4,Ankit Sharma,RPS,bowl,21,20,361,439,12,20,2,20,2,7.3,36.58,30.08,0,0
0,Murugan Ashwin,RPS,bowl,10,10,171,241,7,36,3,36,3,8.46,34.43,24.43,0,0
0,Scott Boland,RPS,bowl,2,2,42,54,2,31,2,31,2,7.71,27,21,0,0
1,Ashok Dinda,RPS,bowl,78,75,1516,2073,69,18,4,18,4,8.2,30.04,21.97,0,0
4,Mitchell Marsh,RPS,bowl,20,18,315,414,20,25,4,25,4,7.89,20.7,15.75,0,0
4,Ishwar Pandey,RPS,bowl,25,24,462,591,18,23,2,23,2,7.68,32.83,25.67,0,0
2,Thisara Perera,RPS,bowl,37,36,698,1016,31,20,3,20,3,8.73,32.77,22.52,0,0
0,Ajinkya Rahane,RPS,bowl,111,1,6,5,1,5,1,5,1,5,5,6,0,0
1,RP Singh,RPS,bowl,82,82,1775,2338,90,22,4,22,4,7.9,25.98,19.72,0,0
