ShikhaRishi Dhawan,Shardul Thakur,1,1,0,0,0,0,0,2,1,50.0,0
Axar Patel,Rajat Bhatia,0,2,1,0,0,0,0,3,4,133.33333333333334,0
DPMD Jayawardene,Iqbal Abdulla,9,12,2,0,5,0,0,28,36,128.57142857142858,1
Jasprit Bumrah,WD Parnell,3,0,0,0,0,0,0,3,0,0.0,0
KC Sangakkara,A Singh,14,2,0,0,2,0,0,18,10,55.55555555555556,0
SC Ganguly,CRD Fernando,2,2,0,0,1,0,1,6,12,200.0,0
Faf du Plessis,Azhar Mahmood,2,0,1,0,0,0,0,3,2,66.66666666666667,1
LR Shukla,RE van der Merwe,3,1,2,0,1,0,1,8,15,187.5,1
Brendon McCullum,DJ Hooda,1,1,0,0,0,0,0,2,1,50.0,0
BA Stokes,Axar Patel,4,5,0,0,1,0,1,11,15,136.36363636363637,1
M Kaif,Yusuf Pathan,1,2,0,0,0,0,0,3,2,66.66666666666667,1
Manish Pandey,Praveen Kumar,10,5,1,0,0,0,0,16,7,43.75,3
Kedar Jadhav,Thisara Perera,2,7,0,0,0,0,1,10,13,130.0,0
Gautam Gambhir,CK Kapugedera,0,1,0,0,1,0,0,2,5,250.0,0
Andre Russell,Ravichandran Ashwin,2,0,0,0,0,0,0,2,0,0.0,1
Gautam Gambhir,P Awana,2,11,1,0,2,0,0,16,21,131.25,0
Parthiv Patel,PM Sarvesh Kumar,3,1,0,0,0,0,0,4,1,25.0,1
MS Dhoni,RR Raje,3,3,1,0,1,0,0,8,9,112.5,0
Yusuf Pathan,AG Murtaza,3,10,2,0,1,0,3,19,36,189.47368421052633,0
Dwayne Smith,VS Malik,6,5,1,0,3,0,0,15,19,126.66666666666667,0
PA Reddy,SW Tait,3,2,1,0,0,0,0,6,4,66.66666666666667,0
DPMD Jayawardene,MM Patel,15,8,2,0,4,0,0,29,28,96.55172413793103,1
Shaun Marsh,M Ntini,7,2,0,0,2,0,1,12,16,133.33333333333334,1
Kane Williamson,Mohammed Shami,5,4,0,0,1,1,0,11,13,118.18181818181819,1
Dwayne Bravo,Dhawal Kulkarni,1,2,0,0,0,0,2,5,14,280.0,0
CL White,Ravindra Jadeja,4,7,1,0,1,0,3,16,31,193.75,0
S Badrinath,Yuvraj Singh,3,5,1,0,1,0,1,11,17,154.54545454545453,1
Dale Steyn,Jaydev Unadkat,5,2,1,0,1,0,0,9,8,88.88888888888889,1
SC Ganguly,WPUJC Vaas,7,4,1,0,2,0,1,15,20,133.33333333333334,1
AA Jhunjhunwala,Harmeet Singh,1,0,0,0,0,0,0,1,0,0.0,1
SS Tiwary,AD Mathews,11,11,5,0,1,0,2,30,37,123.33333333333333,0
AB de Villiers,SK Trivedi,9,9,3,1,2,0,2,26,38,146.15384615384616,1
AC Gilchrist,VS Malik,0,1,0,0,1,0,0,2,5,250.0,0
AD Mathews,Kieron Pollard,3,2,0,0,0,0,0,5,2,40.0,0
Robin Uthappa,BW Hilfenhaus,10,3,3,0,3,0,0,19,21,110.52631578947368,0
PC Valthaty,SB Jakati,0,4,1,0,1,0,0,6,10,166.66666666666666,0
LRPL Taylor,GD McGrath,1,3,0,0,1,0,1,6,13,216.66666666666666,1
T Thushara,SK Trivedi,1,2,0,0,0,0,0,3,2,66.66666666666667,0
CL White,Zaheer Khan,0,2,1,0,0,0,1,4,10,250.0,0
Naman Ojha,Harmeet Singh,4,3,0,0,2,0,0,9,11,122.22222222222223,0
Murali Vijay,Shahbaz Nadeem,3,5,3,0,1,0,0,12,15,125.0,0
Kieron Pollard,AC Thomas,2,3,0,0,2,0,1,8,17,212.5,0
Suresh Raina,SB Wagh,0,0,0,0,1,0,0,1,4,400.0,0
Stuart Binny,JH Kallis,2,1,0,0,1,0,0,4,5,125.0,0
Suresh Raina,AL Menaria,0,1,0,0,0,0,0,1,1,100.0,0
Ravindra Jadeja,JD Ryder,3,2,0,0,0,0,0,5,2,40.0,1
Dwayne Smith,Sunil Naine,10,4,1,0,1,0,0,16,10,62.5,1
Yusuf Pathan,MF Maharoof,12,4,1,0,2,0,1,20,20,100.0,2
Dale Steyn,Sunil Naine,1,0,0,0,0,0,1,2,6,300.0,1
Y Venugopal Rao,Amit Mishra,3,2,0,0,1,0,0,6,6,100.0,1
Faf du Plessis,M Kartik,7,11,2,0,2,0,1,23,29,126.08695652173913,0
Robin Uthappa,BA Bhatt,1,4,1,0,0,0,0,6,6,100.0,0
James Faulkner,Rohit Sharma,1,0,0,0,0,0,0,1,0,0.0,0
Jos Buttler,Ishant Sharma,3,3,0,0,2,0,0,8,11,137.5,0
S Vidyut,Mohammad Asif,3,4,0,0,4,0,0,11,20,181.8181818181818,0
Harbhajan Singh,Murugan Ashwin,7,1,2,0,1,0,0,11,9,81.81818181818181,0
AB McDonald,Umesh Yadav,3,1,0,0,0,0,0,4,1,25.0,0
Pawan Negi,Ashok Dinda,2,1,1,0,1,0,1,6,13,216.66666666666666,0
SM Pollock,Mohammad Asif,4,2,0,0,1,0,3,10,24,240.0,0
CA Ingram,Yuvraj Singh,3,1,1,0,1,0,0,6,7,116.66666666666667,0
MD Mishra,MM Patel,1,1,1,0,1,0,0,4,7,175.0,0
J Botha,L Balaji,2,3,0,0,1,0,0,6,7,116.66666666666667,0
AA Bilakhia,SK Warne,2,1,0,0,0,0,0,3,1,33.333333333333336,1
Gurkeerat Singh Mann,Moises Henriques,10,4,1,0,3,0,0,18,18,100.0,1
Lendl Simmons,DJ Muthuswami,2,1,0,0,0,0,0,3,1,33.333333333333336,1
LA Pomersbach,Jean-Paul Duminy,1,2,0,0,0,0,0,3,2,66.66666666666667,0
Steven Smith,Ashish Nehra,11,5,0,0,3,0,0,19,17,89.47368421052632,0
Rohit Sharma,Siddharth Kaul,3,3,3,0,0,0,0,9,9,100.0,1
Lasith Malinga,Varun Aaron,0,1,0,0,0,0,0,1,1,100.0,0
Faf du Plessis,Karn Sharma,0,5,1,0,0,0,0,6,7,116.66666666666667,0
Rishab Pant,Adam Zampa,7,4,2,0,2,0,1,16,22,137.5,2
Piyush Chawla,DJG Sammy,1,0,0,0,0,0,0,1,0,0.0,0
GC Smith,Ashok Dinda,12,5,1,0,3,0,0,21,19,90.47619047619048,1
Ajinkya Rahane,Rishi Dhawan,11,4,1,0,2,0,0,18,14,77.77777777777777,1
SM Katich,SC Ganguly,1,2,0,0,1,0,0,4,6,150.0,0
SA Asnodkar,Pradeep Sangwan,3,0,0,0,1,0,1,5,10,200.0,1
Dale Steyn,Dwayne Bravo,3,2,0,0,1,0,0,6,6,100.0,0
Vinay Kumar,Shakib Al Hasan,5,6,1,0,0,0,0,12,8,66.66666666666667,2
KB Arun Karthik,Piyush Chawla,3,0,0,0,1,0,0,4,4,100.0,1
N Saini,DT Christian,2,0,0,0,0,0,0,2,0,0.0,1
Lasith Malinga,Nathan Coulter-Nile,1,0,0,0,0,0,0,1,0,0.0,0
DPMD Jayawardene,Virat Kohli,1,3,0,0,1,0,0,5,7,140.0,0
Karanveer Singh,Chris Morris,2,1,0,0,1,0,0,4,5,125.0,0
AB de Villiers,Karn Sharma,10,17,0,0,0,0,2,29,29,100.0,0
Sunil Naine,Mitchell Johnson,6,5,1,0,0,0,0,12,7,58.333333333333336,2
Faf du Plessis,A Ashish Reddy,1,4,1,0,0,0,0,6,6,100.0,0
JM Kemp,Rohit Sharma,0,1,0,0,0,0,0,1,1,100.0,0
DL Vettori,DT Christian,1,1,0,0,0,0,0,2,1,50.0,0
Marcus Stoinis,Umesh Yadav,3,2,0,0,0,0,0,5,2,40.0,0
MS Dhoni,DL Vettori,12,13,1,0,2,0,0,28,23,82.14285714285714,1
JH Kallis,R McLaren,3,2,1,0,0,0,0,6,4,66.66666666666667,1
Karn Sharma,Kuldeep Yadav,2,0,0,0,0,0,0,2,0,0.0,0
Ishant Sharma,JDP Oram,0,1,0,0,0,0,0,1,1,100.0,0
JA Morkel,Yusuf Pathan,12,11,1,0,4,0,3,31,47,151.61290322580646,1
SC Ganguly,AD Mascarenhas,2,2,2,0,0,0,0,6,6,100.0,2
Sachin Baby,LH Ferguson,1,1,0,0,0,0,0,2,1,50.0,0
L Ronchi,Irfan Pathan,4,0,0,0,1,0,1,6,10,166.66666666666666,0
PR Shah,Yuvraj Singh,1,1,0,0,0,0,0,2,1,50.0,0
Bipul Sharma,Thisara Perera,1,1,1,0,0,0,0,3,3,100.0,0
Kevin Pietersen,PP Ojha,10,9,1,0,2,0,1,23,25,108.69565217391305,1
SC Ganguly,Thisara Perera,0,1,0,0,0,0,0,1,1,100.0,0
KC Sangakkara,Shahbaz Nadeem,6,5,1,0,2,0,1,15,21,140.0,0
Stuart Binny,S Gopal,4,1,0,0,0,0,0,5,1,20.0,1
RT Ponting,Dwayne Bravo,4,2,0,0,0,0,0,6,2,33.333333333333336,0
PA Reddy,M Kartik,1,5,0,0,1,0,0,7,9,128.57142857142858,0
VVS Laxman,A Kumble,2,8,0,0,3,0,0,13,20,153.84615384615384,0
Irfan Pathan,FY Fazal,0,3,0,0,0,0,0,3,3,100.0,0
MS Dhoni,Karn Sharma,15,9,0,0,1,0,4,29,37,127.58620689655173,0
