Rajagopal Sathish,Shane Watson,1,1,0,0,0,0,0,2,1,50.0,0,11,1
Harbhajan Singh,Iqbal Abdulla,6,1,0,0,1,0,0,8,5,62.5,0,4,5
Tirumalsetti Suman,Shane Watson,1,0,0,0,1,0,0,2,4,200.0,1,4,1
Brendon McCullum,Ankit Sharma,12,7,1,0,3,0,1,24,27,112.5,1,6,6
Dinesh Karthik,Ishant Sharma,9,6,1,0,1,0,0,17,12,70.58823529411765,2,6,7
Aaron Finch,Suresh Raina,0,1,0,0,0,0,1,2,7,350.0,0,0,5
AB de Villiers,Rishi Dhawan,1,4,0,0,1,0,0,6,8,133.33333333333334,1,9,0
Gautam Gambhir,Imran Tahir,4,14,2,0,1,0,1,22,28,127.27272727272727,1,5,10
Wriddhiman Saha,James Faulkner,7,10,2,0,4,0,0,23,30,130.43478260869566,1,0,2
Manish Pandey,Samuel Badree,4,4,1,0,1,0,0,10,10,100.0,0,3,6
Moises Henriques,Morne Morkel,6,2,1,0,0,0,0,9,4,44.44444444444444,0,8,7
Harbhajan Singh,Shane Watson,2,3,0,0,2,0,1,8,17,212.5,0,4,1
Steven Smith,Amit Mishra,18,14,1,0,0,0,1,34,22,64.70588235294117,1,0,4
Nathan Coulter-Nile,Dwayne Bravo,0,1,0,0,0,0,0,1,1,100.0,0,10,8
Virat Kohli,Glenn Maxwell,0,3,0,0,1,0,0,4,7,175.0,0,5,6
Manan Vohra,James Faulkner,2,1,1,0,3,0,0,7,15,214.28571428571428,0,4,2
Shakib Al Hasan,Vinay Kumar,2,1,1,0,0,0,0,4,3,75.0,2,7,8
Brendon McCullum,James Faulkner,8,7,3,0,3,0,0,21,25,119.04761904761905,1,6,2
Jean-Paul Duminy,Vinay Kumar,3,16,3,0,4,0,4,30,62,206.66666666666666,0,3,8
Irfan Pathan,Kane Richardson,4,3,1,0,0,0,0,8,5,62.5,0,8,6
Manish Pandey,Glenn Maxwell,2,3,0,0,0,0,0,5,3,60.0,1,3,6
Kevin Pietersen,Axar Patel,9,4,1,0,6,0,0,20,30,150.0,1,8,2
Suresh Raina,Sarabjit Ladda,1,1,0,0,1,0,0,3,5,166.66666666666666,0,5,9
Wriddhiman Saha,Ishant Sharma,1,2,0,0,0,0,0,3,2,66.66666666666667,0,0,7
Jean-Paul Duminy,Iqbal Abdulla,1,0,0,0,0,0,0,1,0,0.0,1,3,5
Brendon McCullum,Ravindra Jadeja,0,0,0,0,1,0,0,1,4,400.0,0,6,1
Parthiv Patel,Ravichandran Ashwin,24,14,0,1,2,0,0,41,25,60.97560975609756,3,3,8
Murali Vijay,Mitchell McClenaghan,12,5,1,1,7,0,0,26,38,146.15384615384616,0,3,11
Chris Morris,Sreenath Aravind,1,2,0,0,0,0,0,3,2,66.66666666666667,0,7,5
Umesh Yadav,Thisara Perera,0,1,0,0,1,0,1,3,11,366.6666666666667,0,1,10
Dinesh Karthik,Marchant de Lange,2,1,0,0,0,0,0,3,1,33.333333333333336,1,6,9
Steven Smith,Jagadeesha Suchith,2,10,2,0,2,0,0,16,22,137.5,0,0,6
Parthiv Patel,Adam Zampa,0,2,0,0,0,0,0,2,2,100.0,0,3,9
Ankit Sharma,Faf du Plessis,0,2,0,0,0,0,2,4,14,350.0,0,1,3
David Wiese,Dhawal Kulkarni,4,0,0,0,2,0,0,6,8,133.33333333333334,1,1,7
Zaheer Khan,Ravichandran Ashwin,1,2,0,0,0,0,0,3,2,66.66666666666667,0,1,8
Iqbal Abdulla,Jasprit Bumrah,4,1,0,0,3,0,0,8,13,162.5,0,1,11
Steven Smith,Samuel Badree,4,6,0,0,4,0,1,15,28,186.66666666666666,0,0,6
Aaron Finch,Krunal Pandya,6,5,1,0,0,0,0,12,7,58.333333333333336,0,0,0
Iqbal Abdulla,Tim Southee,1,1,1,0,0,0,0,3,3,100.0,0,1,10
